,Name,Price,Images,Links
0,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/q/a/c/narzo-50a-rmx3430-realme-original-imag75kybaer8scz.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGGMM9YLF&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4X6JDZMGG.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
1,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/q/a/c/narzo-50a-rmx3430-realme-original-imag75kybaer8scz.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HCASWEK&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4DNG9688H.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
2,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYY0MIXVS&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4UGGFQWYY.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
3,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8QUT1Q3&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4JGHHADW8.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
4,"realme C11 2021 (Cool Blue, 32 GB)","₹6,499",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGVHYY2X&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG4BEG3HG78BDG.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
5,"realme C11 2021 (Cool Grey, 32 GB)","₹6,499",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZ8JGQTA&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG4BEGX8QYNKGZ.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
6,"realme C11 2021 (Cool Blue, 64 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5BRH0C2B&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG5BCDBHPYMT5B.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
7,"realme C11 2021 (Cool Grey, 64 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THYT3XBW&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG5BCDJ68N57TH.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
8,"realme 9 5G (Stargaze White, 64 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/p/r/-original-imagcb64gwkhzdk5.jpeg?q=70,https://www.flipkart.com/realme-9-5g-stargaze-white-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5HG5RJZGW&lid=LSTMOBGC2Q5HG5RJZGWDV4O6G&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGC2Q5HG5RJZGW.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
9,"realme 9 5G (Meteor Black, 64 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,https://www.flipkart.com/realme-9-5g-meteor-black-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5TGTGRBHR&lid=LSTMOBGC2Q5TGTGRBHRG6OMV4&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGC2Q5TGTGRBHR.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
